,Date,Net Sales,Orders,Guests
636,2024-09-28,1104.33,41,41
637,2024-09-29,652.6,17,17
638,2024-09-30,0.0,0,0
639,2024-10-01,319.28,10,10
640,2024-10-02,234.3,12,12
641,2024-10-03,233.38,8,8
642,2024-10-04,1373.72,34,34
643,2024-10-05,1495.13,40,40
644,2024-10-06,586.07,22,22
645,2024-10-07,0.0,0,0
646,2024-10-08,253.85,9,9
647,2024-10-09,382.26,11,11
648,2024-10-10,431.12,15,15
649,2024-10-11,917.27,28,28
650,2024-10-12,469.18,16,16
651,2024-10-13,822.44,26,26
652,2024-10-14,0.0,0,0
653,2024-10-15,254.34,14,14
654,2024-10-16,360.28,11,11
655,2024-10-17,570.18,12,12
656,2024-10-18,1030.35,32,32
657,2024-10-19,1112.31,32,32
658,2024-10-20,501.76,14,14
659,2024-10-21,0.0,0,0
660,2024-10-22,379.21,12,12
661,2024-10-23,362.79,16,16
662,2024-10-24,505.71,13,13
663,2024-10-25,1020.09,32,32
664,2024-10-26,1157.11,32,32
665,2024-10-27,1206.31,33,33
666,2024-10-28,0.0,0,0
667,2024-10-29,268.85,10,10
668,2024-10-30,406.27,15,15
669,2024-10-31,1356.48,22,22
670,2024-11-01,1115.64,22,22
671,2024-11-02,756.61,19,19
672,2024-11-03,740.84,22,22
673,2024-11-04,0.0,0,0
674,2024-11-05,463.56,15,15
675,2024-11-06,264.83,10,10
676,2024-11-07,303.26,8,8
677,2024-11-08,971.48,33,33
678,2024-11-09,849.03,25,25
679,2024-11-10,724.56,23,23
680,2024-11-11,0.0,0,0
681,2024-11-12,145.38,8,8
682,2024-11-13,420.3,10,10
683,2024-11-14,193.83,5,5
684,2024-11-15,819.86,27,27
685,2024-11-16,583.52,16,16
686,2024-11-17,461.71,16,16
687,2024-11-18,49.96,2,2
688,2024-11-19,296.24,10,10
689,2024-11-20,310.78,9,9
690,2024-11-21,514.67,9,9
691,2024-11-22,689.46,19,19
692,2024-11-23,760.41,22,22
693,2024-11-24,705.44,25,25
694,2024-11-25,0.0,0,0
695,2024-11-26,432.28,14,14
696,2024-11-27,453.28,11,11
697,2024-11-28,0.0,0,0
698,2024-11-29,651.6,18,18
699,2024-11-30,1263.28,29,29
700,2024-12-01,875.31,22,22
701,2024-12-02,0.0,0,0
702,2024-12-03,273.27,11,11
703,2024-12-04,366.75,13,13
704,2024-12-05,404.24,13,13
705,2024-12-06,416.67,15,15
706,2024-12-07,1111.83,28,28
707,2024-12-08,564.57,17,17
708,2024-12-09,0.0,0,0
709,2024-12-10,158.92,7,7
710,2024-12-11,287.27,9,9
711,2024-12-12,546.28,13,13
712,2024-12-13,1524.69,29,29
713,2024-12-14,733.5,23,23
714,2024-12-15,839.39,28,28
715,2024-12-16,0.0,0,0
716,2024-12-17,132.88,5,5
717,2024-12-18,232.81,7,7
718,2024-12-19,520.66,18,18
719,2024-12-20,876.52,25,25
720,2024-12-21,471.66,16,16
721,2024-12-22,1163.75,28,28
722,2024-12-23,0.0,0,0
723,2024-12-24,1154.32,34,34
724,2024-12-25,1501.6,40,40
725,2024-12-26,338.22,10,10
726,2024-12-27,769.41,20,20
727,2024-12-28,759.91,23,23
728,2024-12-29,961.75,16,16
729,2024-12-30,0.0,0,0
730,2024-12-31,623.86,16,16
731,2025-01-01,0.0,0,0
732,2025-01-02,347.19,11,11
733,2025-01-03,871.31,18,18
734,2025-01-04,447.15,15,15
735,2025-01-05,823.63,25,25
736,2025-01-06,0.0,0,0
737,2025-01-07,381.8,12,12
738,2025-01-08,144.92,5,5
739,2025-01-09,0.0,0,0
740,2025-01-10,584.63,22,22
741,2025-01-11,1029.33,24,24
742,2025-01-12,498.02,16,16
743,2025-01-13,0.0,0,0
744,2025-01-14,263.83,9,9
745,2025-01-15,254.84,8,8
746,2025-01-16,351.23,9,9
747,2025-01-17,1694.03,22,22
748,2025-01-18,1056.86,28,28
749,2025-01-19,809.01,19,19
750,2025-01-20,0.0,0,0
751,2025-01-21,205.9,7,7
752,2025-01-22,404.78,13,13
753,2025-01-23,499.09,12,12
754,2025-01-24,970.88,25,25
755,2025-01-25,896.99,24,24
756,2025-01-26,468.68,14,14
757,2025-01-27,0.0,0,0
758,2025-01-28,109.9,4,4
759,2025-01-29,371.75,14,14
760,2025-01-30,361.29,15,15
761,2025-01-31,858.92,25,25
762,2025-02-01,732.63,21,21
763,2025-02-02,603.09,17,17
764,2025-02-03,0.0,0,0
765,2025-02-04,299.3,8,8
766,2025-02-05,226.27,7,7
767,2025-02-06,505.7,8,8
768,2025-02-07,3551.81,33,33
769,2025-02-08,1437.55,37,37
770,2025-02-09,1704.07,39,39
771,2025-02-10,0.0,0,0
772,2025-02-11,220.4,10,10
773,2025-02-12,63.97,2,2
774,2025-02-13,943.39,9,9
775,2025-02-14,584.3,21,21
776,2025-02-15,813.47,22,22
777,2025-02-16,540.58,17,17
778,2025-02-17,0.0,0,0
779,2025-02-18,95.9,4,4
780,2025-02-19,426.23,14,14
781,2025-02-20,698.05,18,18
782,2025-02-21,2331.92,69,69
783,2025-02-22,3426.88,93,93
784,2025-02-23,2875.33,80,80
785,2025-02-24,0.0,0,0
786,2025-02-25,1437.12,45,45
787,2025-02-26,1460.37,44,44
788,2025-02-27,1439.04,46,46
789,2025-02-28,2469.91,69,69
790,2025-03-01,2228.01,69,69
791,2025-03-02,1503.58,46,46
792,2025-03-03,0.0,0,0
793,2025-03-04,1032.77,36,36
794,2025-03-05,820.06,23,23
795,2025-03-06,1104.81,28,28
796,2025-03-07,2457.61,67,67
797,2025-03-08,2383.03,65,65
798,2025-03-09,1634.3,44,44
799,2025-03-10,0.0,0,0
800,2025-03-11,1506.08,29,29
801,2025-03-12,1096.7,30,30
802,2025-03-13,956.81,29,29
803,2025-03-14,2497.4,66,66
804,2025-03-15,2751.4,70,70
805,2025-03-16,1956.67,44,44
806,2025-03-17,0.0,0,0
807,2025-03-18,754.03,23,23
